word,freq
时候,1812
就是,1150
一些,1125
我们,1082
觉得,1068
不是,958
知道,952
现在,851
生活,779
地方,718
看到,705
一样,691
这样,688
这些,646
只是,608
开始,599
朋友,593
于是,574
事情,564
很多,549
一点,546
感觉,528
出来,525
时间,505
这里,503
他们,483
张衔,481
长沙,481
不会,470
还有,464
也许,463
一下,455
问题,447
的话,446
虽然,437
起来,433
东西,433
最近,413
那么,411
一种,401
不能,399
有些,399
这么,377
一次,376
这种,375
一起,371
真的,369
最后,366
共计,355
一直,348
今天,343
不过,343
喜欢,334
以前,319
本文,316
推文,310
好像,307
所有,304
比如,301
不同,297
别人,296
多少,290
只有,284
出门,282
完全,273
张衔推文,272
有人,267
直接,267
其他,264
推文共计,263
人们,259
那些,258
发现,257
进行,251
新加坡,247
过去,239
两个,239
甚至,239
这是,237
本文张衔,236
样子,234
一定,234
各种,230
后来,230
每天,227
方式,225
晚上,224
一天,224
社会,222
作为,220
以为,220
几个,213
武汉,213
内容,212
一张,211
除了,208
里面,206
城市,205
张图,203
那种,201
下来,200
找到,199
像是,198
工作,197
有点,196
旁边,195
结果,193
大家,193
为了,192
一篇,192
世界,191
当时,190
出现,190
语言,190
不要,186
里边,185
继续,184
不管,184
路上,181
共计张图,181
学校,180
理解,180
老师,180
离开,178
回来,178
一段,177
没什么,176
当中,174
到底,173
一位,172
实验,171
自然,170
科研,169
不到,168
只能,167
是因为,167
对于,166
毕竟,165
电影,164
感受,164
老板,164
看起来,164
变得,164
中国,163
而是,163
同学,162
是不是,162
这次,161
存在,160
简单,160
重要,160
几天,159
看看,159
哪里,159
如何,158
来说,158
刚刚,154
本来,153
只要,152
出去,152
的确,150
选择,149
描述,148
小时,148
吃饭,148
实在,147
意思,147
不错,146
一般,144
本书,144
关于,143
实验室,143
情绪,142
名字,142
想到,140
今年,139
总是,137
真正,136
文字,136
讨论,136
手机,136
毕业,136
这边,134
寝室,134
香港,132
突然,131
经历,131
坐在,130
之间,130
正常,130
准备,130
以后,129
学生,129
发生,129
文化,129
一件,129
好吃,128
想起,128
听到,127
认知,127
研究,127
之外,127
过来,126
原来,126
下去,125
任何,125
按照,124
打开,124
照片,123
一家,123
努力,123
每个,122
方向,121
角度,121
意义,121
至少,121
情况,120
希望,120
认为,120
学习,120
一边,119
越来越,119
看着,118
状态,118
成为,118
即使,118
早上,117
相机,117
记得,116
一句,116
味道,115
本身,115
奶茶,115
不想,115
部分,115
明白,115
想法,114
来看,114
故事,114
办法,113
其中,113
类似,111
令人,111
附近,111
信息,111
体验,110
一切,110
昨天,110
认识,109
表达,109
一本,109
北京,109
有时候,108
解释,108
过程,107
好好,106
原因,106
好看,106
人类,105
提到,105
历史,105
环境,104
声音,104
进入,104
公众,103
衣服,103
明显,103
别的,102
才能,102
一条,101
你们,101
开心,101
事件,101
下午,101
国内,101
中文,100
一年,100
遇到,99
回到,99
关系,99
而言,99
那里,98
三个,98
人生,98
决定,98
一点点,97
哪个,97
有没有,97
那样,97
主要,97
睡觉,97
要求,96
不用,95
几乎,95
反正,94
奇怪,94
同样,94
行为,94
告诉,94
变成,94
自我,93
艺术,93
不少,92
差不多,92
留下,92
随便,91
熟悉,91
逻辑,91
快乐,91
放在,91
习惯,90
所谓,90
接受,90
程度,90
知识,90
容易,89
如此,89
这家,89
平常,88
说话,88
文章,88
慢慢,88
不了,88
一片,88
不好,88
方法,88
休息,88
空间,87
想着,87
能力,87
印象,87
经过,87
化学,86
建筑,86
有趣,86
每次,86
一遍,86
得到,86
师兄,85
发展,85
个人,84
至于,84
可是,84
抽象,84
根本,84
上面,83
