word,freq
时候,159
就是,159
一些,127
我们,109
觉得,94
不是,92
东西,73
知道,73
这些,68
一样,68
现在,66
地方,66
比如,62
这种,61
看到,60
朋友,59
出来,56
不同,55
只是,53
于是,52
一点,51
最近,50
这里,49
语言,49
他们,48
虽然,48
感觉,46
好像,44
问题,44
生活,43
内容,43
事情,42
这样,42
一种,41
一起,40
彭蕤,39
很多,39
的话,37
抽象,37
有些,35
开始,34
起来,34
不能,33
长沙,33
描述,33
一直,32
今天,32
完全,31
进行,31
方式,31
社会,31
时间,30
喜欢,30
电影,30
直接,30
两个,29
一下,29
简单,29
不会,28
还有,28
那么,27
结果,27
共计,27
解释,27
真的,27
以前,27
别人,26
最后,26
理解,26
今年,26
甚至,26
看起来,26
对于,26
实验室,25
所有,25
新加坡,25
特征,25
方法,25
行为,24
一次,24
这是,24
出现,24
不过,24
只有,24
有人,23
每天,23
张图,23
只能,23
共计张图,23
科研,23
这么,22
意思,22
作为,22
是因为,22
工程,22
节日,21
一天,20
过去,20
一篇,20
师兄,20
准备,20
世界,20
意味着,20
那种,20
一张,20
事件,20
后来,19
中文,19
明白,19
通常,19
成为,19
出门,19
表达,19
是不是,19
多少,18
之间,18
到底,18
文化,18
意义,18
发现,18
一段,18
那些,18
里面,18
国外,18
张衔,17
讨论,17
得到,17
其他,17
来说,17
几个,17
名字,17
中国,17
研究,17
特征工程,17
每个,17
国内,17
函数,17
看看,16
离开,16
关系,16
印裔,16
信众,16
为了,16
专门,15
变成,15
原本,15
本文,15
晚上,15
仪式,15
进入,15
而是,15
过程,15
一边,15
不错,15
自然,15
本来,15
哪里,15
认识,15
老师,15
罗生门,15
武士,15
眼泪,15
如何,14
当时,14
交流,14
推文,14
明显,14
按照,14
程度,14
一般,14
角度,14
情况,14
关于,14
相机,14
具体,14
坐在,14
各种,14
昨天,14
除了,14
人情,14
存在,13
即使,13
有点,13
人们,13
指代,13
经历,13
以为,13
当中,13
英语,13
环境,13
刚刚,13
根据,13
之外,13
来看,13
越来越,13
想法,13
不要,13
原来,13
的确,13
答案,13
人情社会,13
去年,12
那里,12
样子,12
大部分,12
一位,12
宗教,12
用来,12
部分,12
实在,12
穿刺,12
接下来,12
变得,12
小时,12
有趣,12
遇到,12
方向,12
听到,12
文字,12
本文张衔,12
张衔推文,12
推文共计,12
密宗,12
结构,12
合理,12
一片,12
打开,12
找到,12
程序,12
工资,12
这句,12
衣服,12
老板,12
一部,11
而言,11
路上,11
下去,11
下午,11
总是,11
印度教,11
印度,11
了解,11
一条,11
拍照,11
闪光灯,11
经验,11
形式,11
吃饭,11
以来,11
继续,11
寝室,11
熟悉,11
朋友圈,11
努力,11
快乐,11
事物,11
定义,11
积分,11
有时候,11
发生,10
有没有,10
出去,10
令人,10
宝宝,10
本身,10
马来西亚,10
泰米尔,10
禁食,10
镜头,10
英文,10
回来,10
贡献,10
主要,10
容易,10
属于,10
生物,10
变化,10
不到,10
一件,10
人工智能,10
本书,10
上面,10
根本,10
味道,10
耳机,10
处理,10
目前,10
周易,10
学生,10
建筑,9
除非,9
几天,9
有关,9
曾经,9
好吃,9
是从,9
其中,9
一年,9
希望,9
旁边,9
技术,9
只会,9
周围,9
补给点,9
